feature,paper
ref_structured,0.032258065
operator,0.032258065
comma,0.032258065
goto,0.032258065
asm,0.032258065
if_in_loop,0.032258065
cast,0.032258065
ref_direct,0.032258065
label,0.032258065
local,0.032258065
prop_branch_case,0.016129032
prop_branch_if,0.010752688
prop_branch_ternary,0.005376344
prop_loop_for,0.016129032
prop_loop_while,0.010752688
prop_loop_dowhile,0.005376344
strcmp_bare,0.010752688
strcmp_not,0.021505376
fix,0
cond_depth,0.043010753
if_depth,0.021505376
lol,0.043010753
loc,0.021505376
undefined,0.032258065
invalid_funccall,0.032258065
invalid_ir,0.032258065
unimplemented,0.032258065
unknown,0.032258065
invalid_form,0.032258065
unknown_op,0.032258065
invalid_jump,0.032258065
broken_dowhile,0.032258065
token,0.032258065
loop_total,0.032258065
branch_total,0.032258065
loop_depth,0.032258065
assignment,0.032258065
